evaluation,method,instance
SV,F.json,000_18nodes_erdosrenyi40percent.json
SV,F.json,000_18nodes_erdosrenyi50percent.json
SV,F.json,000_19nodes_erdosrenyi20percent.json
SV,F.json,000_19nodes_erdosrenyi30percent.json
SV,F.json,000_20nodes_erdosrenyi20percent.json
SV,F.json,000_20nodes_erdosrenyi30percent.json
SV,F.json,000_20nodes_erdosrenyi40percent.json
SV,F.json,000_20nodes_erdosrenyi50percent.json
SV,F.json,001_15nodes_erdosrenyi20percent.json
SV,F.json,001_15nodes_erdosrenyi30percent.json
SV,F.json,001_15nodes_erdosrenyi40percent.json
SV,F.json,001_15nodes_erdosrenyi50percent.json
SV,F.json,001_16nodes_erdosrenyi20percent.json
SV,F.json,001_16nodes_erdosrenyi30percent.json
SV,F.json,001_16nodes_erdosrenyi40percent.json
SV,F.json,001_16nodes_erdosrenyi50percent.json
SV,F.json,001_17nodes_erdosrenyi20percent.json
SV,F.json,001_17nodes_erdosrenyi30percent.json
SV,F.json,001_17nodes_erdosrenyi40percent.json
SV,F.json,001_17nodes_erdosrenyi50percent.json
SV,F.json,001_18nodes_erdosrenyi20percent.json
SV,F.json,001_18nodes_erdosrenyi30percent.json
SV,F.json,001_18nodes_erdosrenyi40percent.json
SV,F.json,001_18nodes_erdosrenyi50percent.json
SV,F.json,001_19nodes_erdosrenyi20percent.json
SV,F.json,001_19nodes_erdosrenyi30percent.json
SV,F.json,001_19nodes_erdosrenyi40percent.json
SV,TQA_opt.json,009_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,000_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,001_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,002_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,003_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,004_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,005_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,006_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,007_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,008_1_1_heavyhex_12nodes_weighted.json
SV,FA_opt.json,009_1_1_heavyhex_12nodes_weighted.json
SV,TQA_opt.json,001_16nodes_0swap_layers.json
SV,TQA_opt.json,001_16nodes_10swap_layers.json
SV,TQA_opt.json,001_16nodes_1swap_layers.json
SV,TQA_opt.json,001_16nodes_2swap_layers.json
SV,TQA_opt.json,001_16nodes_3swap_layers.json
SV,TQA_opt.json,001_16nodes_4swap_layers.json
SV,TQA_opt.json,001_16nodes_5swap_layers.json
SV,TQA_opt.json,001_16nodes_6swap_layers.json
SV,TQA_opt.json,001_16nodes_7swap_layers.json
SV,TQA_opt.json,001_16nodes_8swap_layers.json
SV,TQA_opt.json,001_16nodes_9swap_layers.json
SV,TQA_opt.json,001_17nodes_0swap_layers.json
SV,TQA_opt.json,001_17nodes_10swap_layers.json
SV,TQA_opt.json,001_17nodes_1swap_layers.json
SV,TQA_opt.json,001_17nodes_2swap_layers.json
SV,TQA_opt.json,001_17nodes_3swap_layers.json
SV,TQA_opt.json,001_17nodes_4swap_layers.json
SV,TQA_opt.json,001_17nodes_5swap_layers.json
SV,TQA_opt.json,001_17nodes_6swap_layers.json
SV,TQA_opt.json,001_17nodes_7swap_layers.json
SV,TQA_opt.json,001_17nodes_8swap_layers.json
SV,TQA_opt.json,001_17nodes_9swap_layers.json
SV,TQA_opt.json,001_18nodes_0swap_layers.json
SV,TQA_opt.json,001_18nodes_10swap_layers.json
SV,TQA_opt.json,001_18nodes_1swap_layers.json
SV,TQA_opt.json,001_18nodes_2swap_layers.json
SV,TQA_opt.json,001_18nodes_3swap_layers.json
SV,TQA_opt.json,001_18nodes_4swap_layers.json
SV,TQA_opt.json,001_18nodes_5swap_layers.json
SV,TQA_opt.json,001_18nodes_6swap_layers.json
SV,TQA_opt.json,001_18nodes_7swap_layers.json
SV,TQA_opt.json,001_18nodes_8swap_layers.json
SV,TQA_opt.json,001_18nodes_9swap_layers.json
SV,TQA_opt.json,001_19nodes_0swap_layers.json
SV,TQA_opt.json,001_19nodes_10swap_layers.json
SV,TQA_opt.json,001_19nodes_1swap_layers.json
SV,TQA_opt.json,001_19nodes_2swap_layers.json
SV,TQA_opt.json,001_19nodes_3swap_layers.json
SV,TQA_opt.json,001_19nodes_4swap_layers.json
SV,TQA_opt.json,001_19nodes_5swap_layers.json
SV,TQA_opt.json,001_19nodes_6swap_layers.json
