,instance,method,depth
29,008_100nodes_2swap_layers.json,RTS_MPSAer.json,6
149,008_100nodes_2swap_layers.json,RTS_PP.json,6
343,008_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
304,008_100nodes_random3regular.json,F_MPS.json,6
414,008_100nodes_random3regular.json,I_MPS.json,6
64,008_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
104,008_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
454,008_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
264,008_100nodes_random3regular.json,LR_MPS_no_opt.json,6
224,008_100nodes_random3regular.json,LR_PP_angle_opt.json,6
184,008_100nodes_random3regular.json,LR_PP_no_opt.json,6
374,008_100nodes_random3regular.json,RTS_MPS.json,6
24,008_100nodes_random3regular.json,RTS_MPSAer.json,6
144,008_100nodes_random3regular.json,RTS_PP.json,6
339,008_100nodes_random3regular.json,TQA_MPS_opt.json,6
302,008_70nodes_erdosrenyi20percent.json,F_MPS.json,6
412,008_70nodes_erdosrenyi20percent.json,I_MPS.json,6
62,008_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
103,008_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
453,008_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
